transaction_id,from_account,to_account,amount,branch,channel,timestamp
T0,A97,A83,40521,Bangalore,ATM,2026-01-18 20:44:39
T1,A37,A162,19026,Hyderabad,Branch,2026-03-10 13:07:25
T2,A532,A989,25916,Hyderabad,Branch,2026-02-10 14:46:38
T3,A853,A45,64469,Delhi,ATM,2026-02-13 04:17:09
T4,A964,A537,71378,Bangalore,Online,2026-02-16 10:02:19
T5,A173,A728,69483,Pune,Online,2026-01-28 21:53:39
T6,A37,A393,71023,Mumbai,ATM,2026-03-02 03:03:10
T7,A570,A578,18088,Bangalore,UPI,2026-02-18 21:24:23
T8,A53,A246,28996,Bangalore,Branch,2026-02-26 05:11:47
T9,A898,A74,52011,Mumbai,UPI,2026-02-10 21:25:02
T10,A325,A842,56845,Mumbai,UPI,2026-01-03 01:04:48
T11,A818,A538,13176,Hyderabad,UPI,2026-01-23 10:12:10
T12,A425,A563,75613,Delhi,Online,2026-02-02 12:33:47
T13,A283,A543,60884,Mumbai,Branch,2026-01-07 05:04:02
T14,A991,A290,93671,Delhi,Branch,2026-02-13 17:38:28
T15,A116,A97,85391,Delhi,UPI,2026-02-06 09:53:04
T16,A916,A534,63959,Pune,Online,2026-02-17 20:50:02
T17,A513,A524,46087,Delhi,Online,2026-02-22 17:26:01
T18,A556,A298,13434,Pune,UPI,2026-01-20 21:40:51
T19,A317,A951,5794,Bangalore,Branch,2026-02-28 16:58:10
T20,A199,A339,82515,Bangalore,ATM,2026-02-05 11:22:08
T21,A192,A699,69985,Mumbai,Branch,2026-01-27 09:54:44
T22,A581,A166,80502,Mumbai,UPI,2026-01-08 10:17:17
T23,A677,A740,37405,Bangalore,UPI,2026-02-04 05:31:45
T24,A232,A341,12991,Hyderabad,Online,2026-01-21 09:56:40
T25,A534,A44,35737,Hyderabad,Branch,2026-01-28 03:29:28
T26,A437,A24,78204,Mumbai,Branch,2026-03-02 15:35:38
T27,A104,A664,29680,Bangalore,ATM,2026-01-13 15:17:02
T28,A38,A905,53523,Delhi,Online,2026-01-02 01:59:46
T29,A999,A880,50560,Hyderabad,Branch,2026-02-17 00:03:53
T30,A906,A755,47419,Mumbai,ATM,2026-02-22 22:16:29
T31,A594,A240,82398,Delhi,Branch,2026-02-18 02:16:31
T32,A888,A517,50394,Pune,ATM,2026-02-06 02:28:25
T33,A794,A721,30536,Mumbai,ATM,2026-02-26 01:56:44
T34,A259,A655,97662,Pune,Online,2026-01-05 15:19:35
T35,A837,A430,42283,Hyderabad,ATM,2026-02-08 08:44:18
T36,A791,A395,65326,Bangalore,Branch,2026-01-16 13:27:17
T37,A379,A573,26118,Hyderabad,UPI,2026-01-27 00:12:42
T38,A166,A963,89469,Pune,Online,2026-02-26 15:31:03
T39,A419,A568,46651,Bangalore,Branch,2026-02-09 20:48:01
T40,A270,A820,99161,Mumbai,Online,2026-02-19 09:37:58
T41,A985,A341,2235,Bangalore,Online,2026-02-07 22:22:14
T42,A541,A958,32074,Pune,ATM,2026-01-03 09:23:47
T43,A641,A728,44953,Hyderabad,UPI,2026-01-19 11:53:03
T44,A43,A234,86645,Hyderabad,Online,2026-01-02 18:13:24
T45,A424,A259,62129,Delhi,ATM,2026-03-12 14:18:37
T46,A381,A755,57625,Mumbai,Branch,2026-01-17 14:29:48
T47,A714,A296,16569,Bangalore,Branch,2026-02-24 00:37:13
